title,artist,tempo,energy,danceability,loudness,valence
Hurts,Emeli Sandé,106,64,58,-8,18
Change,Christina Aguilera,82,54,62,-6,20
Make Me... (feat. G-Eazy),Britney Spears,123,70,70,-7,58
Keeping Your Head Up,Birdy,122,78,60,-5,53
True Colors,Zedd,126,79,57,-3,49
Make Me Like You,Gwen Stefani,118,71,74,-5,80
Champagne Problems,Nick Jonas,108,78,73,-5,64
Blown,DNCE,130,95,63,-5,73
Start,John Legend,110,4,52,-15,26
Pep Rally,Missy Elliott,90,75,83,-4,32
Higher,Carly Rae Jepsen,114,87,65,-5,44
Invitation,Britney Spears,112,65,37,-7,16
One Call Away (feat. Tyga) - Remix,Charlie Puth,91,69,75,-5,52
Beautiful Birds (feat. Birdy),Passenger,86,17,39,-13,14
Little Lies,Hilary Duff,124,76,57,-6,40
Do You Wanna Come Over?,Britney Spears,121,70,75,-6,45
BURNITUP!,Janet Jackson,123,71,83,-7,83
Picky - Remix,Joey Montana,186,81,70,-3,69
Behind Your Back,Nelly Furtado,98,47,80,-10,69
Million Years Ago,Adele,0,0,0,-60,0
Shape of You,Ed Sheeran,96,65,83,-3,93
Closer,The Chainsmokers,95,52,75,-6,66
Starboy,The Weeknd,186,59,68,-7,49
Treat You Better,Shawn Mendes,83,82,44,-4,75
That's What I Like,Bruno Mars,134,56,85,-5,86
Let Me Love You,DJ Snake,100,72,65,-5,16
I Feel It Coming,The Weeknd,93,82,77,-6,59
Mercy,Shawn Mendes,148,66,56,-5,36
Side To Side,Ariana Grande,159,74,65,-6,61
Stay,Zedd,102,62,69,-5,54
It Ain't Me (with Selena Gomez),Kygo,100,53,64,-7,52
Malibu,Miley Cyrus,140,78,57,-6,34
Something Just Like This,The Chainsmokers,103,65,61,-7,51
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,102,76,72,-4,74
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,118,45,74,-8,9
My Way,Calvin Harris,120,91,82,-3,54
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,81,67,61,-4,81
Praying,Kesha,73,39,58,-7,32
Despacito - Remix,Luis Fonsi,178,82,65,-4,82
The Greatest,Sia,192,73,67,-6,73
There for You,Martin Garrix,106,64,61,-8,13
Paris,The Chainsmokers,100,64,65,-7,25
Crying in the Club,Camila Cabello,85,62,33,-6,60
Mama,Jonas Blue,104,79,74,-4,57
Slide (feat. Frank Ocean & Migos),Calvin Harris,104,80,74,-3,51
Swish Swish,Katy Perry,120,71,84,-5,57
Chained To The Rhythm,Katy Perry,190,80,45,-5,47
Cold (feat. Future),Maroon 5,100,72,69,-6,41
Love,Lana Del Rey,99,37,53,-11,23
Reggaetón Lento (Remix),CNCO,94,91,53,-3,62
First Time,Kygo,90,59,63,-7,68
The Cure,Lady Gaga,100,51,70,-5,52
"How Far I'll Go - From ""Moana""",Alessia Cara,181,54,31,-10,16
Bodak Yellow,Cardi B,125,72,93,-6,46
Rich Love (with Seeb),OneRepublic,105,87,40,-4,47
Tired,Alan Walker,124,88,69,-4,49
Came Here for Love,Sigala,125,87,71,-3,72
24K Magic,Bruno Mars,107,80,82,-4,63
Strip That Down (feat. Quavo),Liam Payne,106,50,87,-5,55
Cut To The Feeling,Carly Rae Jepsen,115,91,71,-3,65
OK - Spotify Version,Robin Schulz,122,81,65,-6,58
Bon appétit,Katy Perry,106,79,80,-6,52
